landmark_id,x_norm,y_norm,z_norm,x_px,y_px,z_approx_px
286,0.5868592262268066,0.42249345779418945,0.01776261441409588,131,94,3
287,0.6338188648223877,0.7607814073562622,0.0865534245967865,141,170,19
288,0.6225898861885071,0.6833267211914062,0.3679819107055664,139,153,82
289,0.6074124574661255,0.6489776968955994,-0.039361514151096344,136,145,-8
290,0.5898762941360474,0.6627781987190247,-0.05143054202198982,132,148,-11
291,0.6160010695457458,0.7704375982284546,0.07583926618099213,137,172,16
292,0.6044213175773621,0.7716184258460999,0.06302981078624725,135,172,14
293,0.6938790082931519,0.3515305519104004,0.05731457099318504,155,78,12
294,0.6183875799179077,0.6429923176765442,-0.028509898111224174,138,144,-6
295,0.6300726532936096,0.37384846806526184,-0.028886346146464348,141,83,-6
296,0.6350407004356384,0.35047662258148193,-0.036484234035015106,142,78,-8
297,0.6373962163925171,0.22495028376579285,0.006932716351002455,142,50,1
298,0.6915225386619568,0.3161013424396515,0.10157474130392075,154,70,22
299,0.6356953978538513,0.28740495443344116,-0.01680864952504635,142,64,-3
300,0.7018041610717773,0.3722116947174072,0.10932618379592896,157,83,24
301,0.6965102553367615,0.3510477542877197,0.16536548733711243,156,78,37
302,0.5772421360015869,0.7601046562194824,-0.04157387092709541,129,170,-9
303,0.5945886373519897,0.760331928730011,-0.014409086667001247,133,170,-3
304,0.6040165424346924,0.7624951004981995,0.013323918916285038,135,170,2
305,0.6000052094459534,0.6556668877601624,-0.0376594141125679,134,146,-8
306,0.6105228662490845,0.7719416618347168,0.06828109174966812,136,172,15
307,0.6080041527748108,0.7825013399124146,0.04943646490573883,136,175,11
308,0.6001487970352173,0.769421398639679,0.06106648966670036,134,172,13
309,0.6082299947738647,0.6428766846656799,-0.07992595434188843,136,144,-17
310,0.5837880969047546,0.7717213034629822,0.02037639170885086,130,172,4
311,0.5741347670555115,0.7754426598548889,1.7276319340453483e-05,128,173,0
312,0.5600914359092712,0.7800065875053406,-0.01854567602276802,125,174,-4
313,0.5587449073791504,0.8577178716659546,0.02628512494266033,125,192,5
314,0.5729796886444092,0.8439379930496216,-0.004036182537674904,128,189,0
315,0.5747851133346558,0.8270761966705322,-0.010554511100053787,128,185,-2
316,0.5711854696273804,0.8087916374206543,-0.008112338371574879,127,181,-1
317,0.5654857158660889,0.7958989143371582,-0.006024797447025776,126,178,-1
318,0.5898802876472473,0.7828844785690308,0.029182808473706245,132,175,6
319,0.5957192182540894,0.7873220443725586,0.02602231502532959,133,176,5
320,0.603165864944458,0.7952750325202942,0.025554988533258438,135,178,5
321,0.6072682738304138,0.8034863471984863,0.03420909494161606,136,179,7
322,0.6262003183364868,0.7154794335365295,0.024856053292751312,140,160,5
323,0.640090823173523,0.550771176815033,0.3937937915325165,143,123,88
324,0.5939233303070068,0.7781734466552734,0.04829369857907295,133,174,10
325,0.6013558506965637,0.7799921631813049,0.04677051678299904,134,174,10
326,0.5820322036743164,0.6765756011009216,-0.05014605447649956,130,151,-11
327,0.6067913770675659,0.6615723371505737,-0.012477071955800056,135,148,-2
328,0.58617103099823,0.6700620651245117,-0.05210505798459053,131,150,-11
329,0.6087296009063721,0.5506172776222229,0.020442437380552292,136,123,4
330,0.6421501040458679,0.5672037601470947,0.04492725804448128,143,127,10
331,0.6179684996604919,0.6260323524475098,-0.01909705623984337,138,140,-4
332,0.672877848148346,0.2467290461063385,0.08202200382947922,150,55,18
333,0.6726624965667725,0.2938328683376312,0.041761383414268494,150,65,9
334,0.6718344688415527,0.34369274973869324,0.010068284347653389,150,76,2
335,0.603816032409668,0.8138390779495239,0.06169275939464569,135,182,13
336,0.583966851234436,0.3612969219684601,-0.06948087364435196,130,80,-15
337,0.5856245756149292,0.28878214955329895,-0.06046001985669136,131,64,-13
338,0.5851635932922363,0.2157246470451355,-0.049954235553741455,131,48,-11
339,0.6590081453323364,0.47352534532546997,0.0825839638710022,147,106,18
340,0.690427303314209,0.49406832456588745,0.1443239003419876,154,110,32
341,0.5697793364524841,0.47108519077301025,0.02656862512230873,127,105,5
342,0.6848027110099792,0.4228585958480835,0.10053852945566177,153,94,22
343,0.5768054723739624,0.5218873023986816,-0.0200845655053854,129,116,-4
344,0.6209366321563721,0.6242952346801758,-0.07740431278944016,139,139,-17
345,0.6983157396316528,0.5065355896949768,0.18898798525333405,156,113,42
346,0.6883971095085144,0.5188353061676025,0.11800216883420944,154,116,26
347,0.6706352233886719,0.5349710583686829,0.08167383819818497,150,119,18
348,0.6323407888412476,0.5343027710914612,0.05105690285563469,141,119,11
349,0.6029415726661682,0.5241405963897705,0.030639199540019035,135,117,6
350,0.582626223564148,0.513615608215332,0.011019790545105934,130,115,2
351,0.5556933879852295,0.48977282643318176,-0.06874240934848785,124,109,-15
352,0.7004293203353882,0.5655788779258728,0.19004902243614197,156,126,42
